FULL NAME,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Reggie Bullock,65,30,62.5,14.4,7.1,55,0.909,163,0.521,398,0.41,0.587,0.606,10.9,3.4,6.2,1.5,7.4,0.8,0.17,0.69,5.1,118.4,105.2
Reggie Jackson,67,23,48,20,10.6,82,0.817,303,0.465,282,0.433,0.554,0.576,10.7,2.9,7,3.1,19,0.63,0.1,1.1,8,116.1,106.6
Reggie Perry,26,8.1,16.9,20.4,15.2,13,0.769,57,0.491,21,0.19,0.436,0.466,3,2.8,19.1,0.5,9,0.23,0.23,0.58,8,100.3,94.2
Richaun Holmes,61,29.2,60.8,17.5,10.3,170,0.794,564,0.645,11,0.182,0.638,0.669,14.2,8.3,15.7,1.7,8.3,0.64,1.56,1.23,8,129.5,106.7
Ricky Rubio,68,26.1,54.3,16,16.4,150,0.867,284,0.447,214,0.308,0.454,0.516,8.6,3.3,6.8,6.4,33.3,1.46,0.06,1.63,8.7,113.1,110.1
RJ Barrett,72,34.9,72.7,23.4,10.5,276,0.746,750,0.457,309,0.401,0.5,0.535,17.6,5.8,8.9,3,13.8,0.74,0.28,1.93,7.7,106.2,104.7
Robert Covington,70,32,66.8,11.5,10.7,62,0.806,153,0.451,356,0.379,0.533,0.553,8.5,6.7,11.1,1.7,6.8,1.44,1.2,0.91,5.7,112.2,107.8
Robert Williams III,52,18.9,39.5,15,15.2,73,0.616,256,0.727,2,0,0.721,0.719,8,6.9,20.2,1.8,14.2,0.83,1.77,1,9.8,137.8,101.5
Robin Lopez,71,19.1,39.7,17.1,13.4,137,0.723,406,0.65,18,0.278,0.64,0.663,9,3.8,10.6,0.8,5.9,0.21,0.62,1.06,6.3,123.7,110.2
Rodney Hood,38,19.1,39.8,14.1,13.1,12,0.75,117,0.41,84,0.298,0.425,0.436,4.7,1.9,5.4,1.2,8.5,0.53,0.11,0.82,4.6,91.1,112.5
Rodney McGruder,16,12.1,25.2,18.2,8.7,8,0.75,46,0.565,24,0.458,0.607,0.619,5.7,1.4,6.3,1,13.6,0.5,0.06,0.44,6.6,120.1,110.6
Romeo Langford,18,15.7,32.7,11.3,13.5,12,0.75,41,0.39,18,0.278,0.398,0.436,3.1,1.9,6.9,0.7,5.9,0.33,0.22,0.56,4.1,94.3,109.7
Rondae Hollis-Jefferson,11,9.8,20.3,10.8,7.4,16,0.563,17,0.529,1,0,0.5,0.539,2.5,2.4,12.9,1.2,15.6,0.18,0.36,0.18,7.9,134.5,104.7
