FULL NAME,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Landry Shamet,61,23,47.9,16.7,8.9,78,0.846,123,0.463,333,0.387,0.549,0.578,9.3,1.8,4.4,1.6,9.3,0.52,0.16,0.79,5.2,112.5,112.3
Langston Galloway,40,10.9,22.8,17.3,7.6,23,0.957,62,0.484,85,0.424,0.571,0.605,4.8,1.1,5.4,0.7,8,0.2,0,0.33,5.7,117.4,111.3
Larry Nance Jr.,35,31.2,65,13.9,15.8,49,0.612,158,0.551,114,0.36,0.546,0.557,9.3,6.7,12,3.1,14.4,1.74,0.49,1.57,7.4,108.8,108.5
Lauri Markkanen,51,25.8,53.8,20.2,8.5,92,0.826,224,0.585,296,0.402,0.595,0.62,13.6,5.3,11.3,0.9,5,0.51,0.29,1.02,6.2,115.3,109.7
LeBron James,45,33.4,69.6,31.9,15.2,255,0.698,537,0.592,285,0.365,0.577,0.603,25,7.7,12.9,7.8,41.8,1.07,0.56,3.73,13.7,113.8,103.8
Lonnie Walker IV,60,25.4,52.8,20.2,9.2,70,0.814,327,0.477,282,0.355,0.502,0.523,11.2,2.6,5.4,1.7,9.6,0.48,0.25,1.08,5.8,99.9,111.1
Lonzo Ball,55,31.8,66.2,20.5,14.5,64,0.781,245,0.482,455,0.378,0.537,0.551,14.6,4.8,8.2,5.7,25.4,1.49,0.56,2.24,9.3,109.8,109.5
Lou Williams,42,21.9,45.5,26.5,12,119,0.866,311,0.437,119,0.378,0.473,0.529,12.1,2.1,5.4,3.4,23.3,0.93,0.1,1.57,8.1,107.9,110.5
Louis King,6,14.2,29.6,20.5,9.8,6,1,23,0.565,11,0.364,0.559,0.6,7.3,3,11.7,1.5,15.4,1.17,0.5,0.67,9,120.5,106.1
Luguentz Dort,52,29.7,61.8,21.7,10,164,0.744,310,0.432,329,0.343,0.475,0.513,14,3.6,6.4,1.7,8.8,0.87,0.37,1.52,5.9,99.9,109.3
Luka Doncic,66,34.3,71.4,36,15.3,471,0.73,803,0.567,548,0.35,0.55,0.587,27.7,8,12.8,8.6,44.1,0.97,0.55,4.26,14.5,113.7,107.3
Luka Samanic,33,9.3,19.5,19.4,14.5,29,0.552,62,0.565,43,0.279,0.505,0.518,3.7,2.1,11.7,0.5,6.9,0.24,0.24,0.61,6.8,96.4,100.6
Luke Kennard,63,19.6,40.8,17.1,10.1,31,0.839,190,0.511,224,0.446,0.597,0.608,8.3,2.6,7.3,1.7,11.9,0.35,0.14,0.76,6.8,117.2,107.9
Luke Kornet,18,14.1,29.4,13.7,7.4,2,0.5,38,0.684,36,0.25,0.534,0.534,4.4,2.9,11.4,1.1,10.9,0.11,1.39,0.33,6.8,116,109.5
Malachi Flynn,47,19.7,41.1,19,10.5,56,0.804,173,0.422,168,0.321,0.452,0.483,7.5,2.5,6.9,2.9,21.4,0.83,0.15,0.91,7.7,102.9,109.5
Malcolm Brogdon,56,34.5,71.8,25.9,9.8,177,0.864,606,0.493,374,0.388,0.527,0.561,21.2,5.3,8.3,5.9,25.7,0.88,0.27,2.05,10.1,113,112.1
Malik Beasley,37,32.8,68.4,24,8.6,80,0.85,279,0.487,321,0.399,0.547,0.57,19.6,4.4,7.2,2.4,11.6,0.81,0.19,1.62,7.2,108.8,115
Malik Monk,42,20.9,43.6,23.8,11.3,72,0.819,187,0.471,212,0.401,0.54,0.569,11.7,2.4,6.2,2.1,15.7,0.45,0.1,1.31,7.4,107.6,112.5
Mamadi Diakite,14,10.1,21,14.6,6.1,14,0.786,32,0.469,8,0.125,0.413,0.477,3.1,2.4,12.7,0.6,6.9,0.5,0.43,0.21,6.5,109,100.6
Marc Gasol,52,19.1,39.8,11.8,19.7,50,0.72,72,0.528,122,0.41,0.582,0.606,5,4.1,12.1,2.1,14.6,0.5,1.12,1.02,7.3,114.5,97.4
Marcus Morris Sr.,57,26.3,54.9,20.1,8.4,89,0.82,288,0.472,296,0.473,0.592,0.614,13.4,4.1,8.8,1,5.6,0.6,0.26,1,5.8,116.4,106.8
Marcus Smart,48,32.9,68.6,18.4,14.2,162,0.79,228,0.482,282,0.33,0.489,0.539,13.1,3.5,5.9,5.7,23.6,1.5,0.5,2,7.8,113.2,108.7
Markelle Fultz,8,26.9,56,26.2,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6,5.4,33.1,1,0.25,2.25,8.9,95.9,109.2
Markieff Morris,61,19.7,41,16.5,11.9,50,0.72,169,0.521,209,0.311,0.491,0.509,6.7,4.4,12.4,1.2,8.6,0.36,0.31,0.89,6.7,100.8,101
Markus Howard,37,5.5,11.5,27.2,14.1,9,0.778,41,0.537,65,0.277,0.462,0.477,2.8,0.6,5.8,0.5,12.6,0.11,0.03,0.49,6.9,89,105.6
Marques Bolden,6,4.8,9.9,13,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1,11.7,0,0,0.33,0.33,0.33,0,100.2,116.4
Marvin Bagley III,43,25.9,53.9,23.5,9.7,134,0.575,382,0.55,108,0.343,0.542,0.554,14.1,7.4,15.9,1,5.8,0.49,0.49,1.37,7.3,108.9,110.5
Mason Jones,26,11.8,24.6,23.1,16.8,57,0.614,50,0.48,64,0.359,0.513,0.546,5.8,2,8.8,1.5,19.1,0.23,0.04,1.08,8.8,100.7,111.6
Mason Plumlee,56,26.8,55.8,16.3,18.8,169,0.669,373,0.627,7,0,0.616,0.639,10.4,9.3,19.3,3.6,21,0.77,0.89,1.88,10.5,122.2,99.7
Matisse Thybulle,65,20,41.6,9.4,11.3,18,0.444,100,0.59,143,0.301,0.508,0.508,3.9,1.9,5.3,1,6.3,1.62,1.09,0.49,3.9,103.6,100.2
Matthew Dellavedova,13,17.2,35.9,12.4,9.4,4,1,31,0.323,25,0.16,0.286,0.312,2.8,1.8,6,4.5,35.2,0.31,0.08,0.46,6.6,100.3,110.2
Maurice Harkless,26,24.9,52,12.6,10.5,41,0.805,79,0.582,73,0.247,0.48,0.526,6.9,3,6.6,1.4,7.2,1.08,0.65,0.77,4.9,105.6,109.3
Max Strus,39,13,27.1,18.3,3.9,24,0.667,39,0.897,148,0.338,0.588,0.597,6.1,1.1,4.6,0.6,7.3,0.28,0.05,0.21,4.9,115.4,107.7
Maxi Kleber,50,26.8,55.9,10.6,9.3,37,0.919,63,0.46,212,0.41,0.58,0.606,7.1,5.2,10.7,1.4,6.6,0.48,0.7,0.6,5.6,122.8,108.1
Meyers Leonard,3,9.8,20.4,15.2,20.2,2,0.5,0,0,7,0.429,0.643,0.635,3.3,2.3,13.6,0.7,9.6,0,0,0.67,7.1,101.3,94.6
Mfiondu Kabengele,23,4.1,8.5,19.2,14.8,6,0.833,14,0.357,18,0.222,0.344,0.39,1.2,0.6,8.4,0.2,6.9,0.09,0.13,0.26,5.1,77.3,93.7
Mfiondu Kabengele,16,11.6,24.2,16.9,12.5,14,0.786,25,0.6,32,0.281,0.5,0.538,4.3,2.9,13.8,0.8,9.6,0.38,0.63,0.56,7.4,107,105.9
Michael Carter-Williams,31,25.8,53.7,20.2,18.4,80,0.613,209,0.431,61,0.246,0.417,0.449,8.8,4.5,9,4.1,24.1,0.81,0.55,2.23,8.5,92.3,106.7
Michael Porter Jr.,61,31.3,65.3,21.8,8.2,134,0.791,435,0.628,382,0.445,0.646,0.663,19,7.3,13.2,1.1,5.6,0.66,0.89,1.28,6.8,124.6,108.5
Mikal Bridges,72,32.6,67.9,14.9,7.4,131,0.84,353,0.649,315,0.425,0.644,0.668,13.5,4.3,7.4,2.1,8.8,1.06,0.88,0.81,6.1,131,110.7
Mike Conley,51,29.4,61.2,23.1,12.4,142,0.852,305,0.479,335,0.412,0.552,0.589,16.2,3.5,6.2,6,30.6,1.37,0.18,1.94,9.5,122.3,104.6
Mike James,13,18.2,37.8,22.9,16.1,27,0.778,61,0.377,31,0.355,0.429,0.481,7.7,2.5,7.5,4.2,30.6,0.46,0.08,1.54,9.5,102.8,113.3
